BUG_ID,Area,Module,Severity,File,Lines,Description,Suggested Fix,Status
BUG-001,Backend,Payroll Engine,Critical,src/modules/payroll/payrollEngine.service.js,431-445,"Deductions are never subtracted from gross salary. total_deductions is always inserted as 0 — every payroll run produces net salary = gross salary regardless of configured deductions.",Parse deductions JSON object; sum all component values; subtract from gross to produce correct net_salary and total_deductions.,Fixed
BUG-002,Backend,Payroll Service,Critical,src/modules/payroll/payroll.service.js,158-164,"getMonthlySummary CTE uses wrong column names start_date/end_date on leave_requests — correct names are from_date/to_date. Leave days are never counted in LOP calculation.",Change lr.start_date → lr.from_date and lr.end_date → lr.to_date throughout the leave_requests join.,Fixed
BUG-003,Frontend,Payroll UI,Critical,src/services/payrollService.js,10-13,"saveSalary always calls POST /admin/payroll/salaries regardless of edit vs create. Editing a salary creates a duplicate record instead of updating the existing one.",Add updateSalary(id) method calling PUT /admin/payroll/salaries/:id. In handleEditSalary use updateSalary instead of saveSalary.,Fixed
BUG-004,Frontend,Leave Management,Critical,src/pages/admin/hr/LeaveAbsence.jsx,139,"fetchLeaveTypes reads res?.data?.leaveTypes but leaveService.getLeaveTypes already unwraps axios data layer — correct path is res?.leaveTypes. Result: leave type dropdown is always empty for all users.",Change to: setLeaveTypes((res?.leaveTypes || res?.data?.leaveTypes || []).filter(t => t.isActive !== false)),Fixed
BUG-005,Backend,Auth Service,High,src/modules/auth/auth.service.js,359-370,"TOCTOU race in resetPassword: verifyOTP resets attempt counter but does not delete the row; then a second plaintext OTP check re-queries with email+otp_code. Two concurrent calls both pass verifyOTP then both fire UPDATE — password can be reset twice. Also leaks timing info.",After verifyOTP succeeds DELETE the password_resets row immediately and carry tenant/user_type in the return value. Remove the second otp_code WHERE clause entirely.,Fixed
BUG-006,Backend,Auth Service,High,src/modules/auth/auth.service.js,568-577,"Fallback LIMIT 1 login query: when the exact email is not found but matches the tenant registry email the code returns the FIRST active admin user ordered by id ASC. An attacker who knows a tenant's registered email can authenticate as the oldest admin account using any correct password.",Remove the fallback query entirely. Return null if exact email match fails.,Fixed
BUG-007,Backend,Auth Service,High,src/modules/auth/auth.service.js,818-888,"Employee auto-provisioning (INSERT INTO employees) fires before the MFA challenge check. MFA is required but employee side-effects already occurred. If INSERT fails on a non-work_email constraint the error is swallowed and employeeId stays null — JWT embeds employeeId: null breaking all employee-linked actions silently.",Move MFA check before the auto-provisioning block. Propagate INSERT failures instead of swallowing them.,Fixed
BUG-008,Backend,Attendance Service,High,src/modules/employees/attendance/attendance.service.js,423-495,"resolveEmployeeId() can return null/undefined. The guard `if (employeeId) await assertActiveForPunch(...)` silently skips the active-employee check when falsy then passes 0 (Number(null)) into DB queries — a semantically wrong lookup.",Add `if (!employeeId) throw ApiError.badRequest('Unable to identify employee')` before assertActiveForPunch in both checkIn and checkOut.,Fixed
BUG-009,Backend,Attendance Service,High,src/modules/employees/attendance/attendance.service.js,512-514,"checkOut has no guard against double check-out. An employee can call the endpoint repeatedly and overwrite their checkout time corrupting overtime calculations. checkIn already had this guard.",Add `if (existing?.check_out_time && !canManageOverride(auth)) throw ApiError.badRequest(...)` after the existing check-in guard.,Fixed
BUG-010,Backend,Payroll Engine,High,src/modules/payroll/payrollEngine.service.js,661-700,"IDOR in getPayslipDetail: ownership check is `if (employeeId && ...)` — when req.user.employeeId is undefined (admin with no linked employee record) the condition short-circuits and any user with PAYROLL_VIEW can read any payslip.",Replace with explicit auth-context check: users with PAYROLL_MANAGE or isTenantAdmin bypass; everyone else must own the payslip; missing employeeId throws 403.,Fixed
BUG-011,Backend,Leave Service,High,src/modules/employees/leave/leave.service.js,235-240,"Auth bypass in applyLeave: guard is `if (!canApplyForOthers && auth?.employeeId)` — when auth.employeeId is null the condition is false so the caller-supplied data.employeeId is accepted unchecked. Any user with no linked employee record can submit leave for any employee ID.",If !canApplyForOthers: throw 403 if employeeId missing; then force data.employeeId = auth.employeeId.,Fixed
BUG-012,Backend,Leave Service,High,src/modules/employees/leave/leave.service.js,622,"Wrong FK stored in approval audit columns: user.id (auth account ID referencing auth_users) stored in manager_approved_by/hr_approved_by which are FK columns referencing employees.id. Causes silent wrong values or FK violations.",Change actorId to: user.employeeId || null,Fixed
BUG-013,Backend,Payroll Service,High,src/modules/payroll/payroll.service.js,47-63,"upsertSalary accepts arbitrary employee_id from request body with no validation. PAYROLL_MANAGE user can set salaries for any employee_id including cross-tenant IDs. No validation that net_salary is numeric.",Add numeric validation for employee_id and net_salary; add DB lookup confirming employee exists in this tenant (deleted_at IS NULL) before upsert.,Fixed
BUG-014,Backend,Payroll Engine,High,src/modules/payroll/payrollEngine.service.js,401-403,"Employee query for payroll runs does not filter soft-deleted employees (missing deleted_at IS NULL). Terminated/Resigned excluded by employment_status but soft-deleted accounts without a status change are still included.",Add `AND e.deleted_at IS NULL` to the employee WHERE clause.,Fixed
BUG-015,Backend,Shifts Service,High,src/modules/shifts/shifts.service.js,394-426,"createChangeRequest uses data.employee_id || user.employeeId without verifying caller has permission to submit on behalf of another employee. Any employee with SHIFT_CHANGE_REQUEST permission can create a request for any other employee ID.",If data.employee_id differs from user.employeeId require SHIFT_MANAGE permission or admin role; throw ApiError.forbidden otherwise.,Fixed
BUG-016,Backend,Shifts Service,High,src/modules/shifts/shifts.service.js,326-392,"listChangeRequests accepts filters.employeeId from query string without authorization. Any employee with SHIFT_VIEW can enumerate all other employees' shift-change requests — classic IDOR.",If filters.employeeId differs from auth.employeeId and caller lacks SHIFT_MANAGE or admin role force filters.employeeId = auth.employeeId.,Fixed
BUG-017,Backend,Holidays Service,High,src/modules/holidays/holidays.routes.js,31-35,"Route ordering bug: POST /seed is defined AFTER GET /:calendarId. Express matches /:calendarId first for the string 'seed' routing POST /seed to ctrl.detail with calendarId='seed'. The isInt validator rejects 'seed' with 400 — POST /seed is permanently unreachable.",Move `router.post('/seed', ...)` above `router.get('/:calendarId', ...)` so the static path matches first.,Fixed
BUG-018,Frontend,Payroll UI,High,src/pages/admin/finance/Payroll.jsx,163,"handleDeleteSalary is a stub that always shows toast.error('Delete not yet supported'). The Delete button is fully visible in production — users think deletion failed when the feature was never wired up.",Implement payrollService.deleteSalary(id) calling DELETE /admin/payroll/salaries/:id and call fetchSalaries() after success.,Fixed
BUG-019,Frontend,Payroll UI,High,src/pages/admin/finance/Payroll.jsx,206-207,"All Payslip buttons in the Employee Salary tab navigate to '/admin/payroll-engine' unconditionally with no employee context. Every row opens the same generic page.",Either set payslipRow to the salary row to trigger the existing modal or navigate with: navigate('/admin/payroll-engine' { state: { employeeId: row.employee_id } }),Fixed
BUG-020,Frontend,Attendance Dashboard,High,src/pages/admin/hr/attendance/AttendanceDashboard.jsx,137-139,"Export Report button has no onClick handler and no implementation — clicking it does nothing with no user feedback.",Implement export via attendanceService export functions; add loading state; wire onClick.,Fixed
BUG-021,Frontend,Attendance Dashboard,High,src/pages/admin/hr/attendance/AttendanceDashboard.jsx,343,"Remind button for missing check-outs calls toast.success('Reminder sent') with no API call. The reminder is never actually sent to the employee — only a fake success toast is shown.",Implement POST /attendance/remind-checkout/:employeeId API endpoint and call it. Show toast only on actual success.,Fixed
BUG-022,Frontend,Attendance Reports,High,src/pages/admin/hr/attendance/AttendanceReports.jsx,69,"listEmployees response destructured as d?.records || d || [] but attendanceService.listEmployees returns { employees: [...] }. The 'records' key does not exist — employees dropdown may receive the raw response object instead of an array.",Change to: setEmployees(d?.employees || d?.records || []),Fixed
BUG-023,Frontend,Leave Management,High,src/pages/admin/hr/LeaveAbsence.jsx,170-182,"Live leave balance never fetches because the useEffect watches form.leaveType but EMPTY_FORM does not have a 'leaveType' key (it has 'leaveTypeId'). form.leaveType is always undefined — effect never fires on leave type selection.",Either add leaveType: '' to EMPTY_FORM and set it in the picker or change the effect dependency to watch form.leaveTypeId.,Fixed
BUG-024,Frontend,Overtime Approvals,High,src/pages/admin/hr/attendance/OvertimeApprovals.jsx,88,"isOwn() uses user?.employeeId ?? user?.id — user.id fallback is the auth account ID not the employee ID. Admin with no linked employee record gets compared against account ID causing incorrect segregation-of-duties enforcement.",Guard: if (!user?.employeeId) return false — admins without employee records cannot own an overtime request.,Fixed
BUG-025,Frontend,Attendance Service,High,src/services/attendanceService.js,89-91,"updateOvertime calls PATCH /attendance/overtime/:id but processOvertime calls PATCH /attendance/:id/overtime — two different URL patterns for overlapping operations. One of them will always 404.","Not a bug — verified: /overtime/:id maps to edit (updateOvertime) and /:id/overtime maps to approve/reject (processOvertime). Both routes exist and are correct.",Not a Bug
BUG-026,Backend,Jobs,High,src/jobs/performanceCycleReminder.job.js,62,"Escaped template literals in HTML email body: \\${cycle.cycle_name} and \\${deadlineStr} render as literal placeholder text instead of actual values. The subject line interpolates correctly but HTML body shows broken placeholders.",Remove the backslashes: \\${cycle.cycle_name} → ${cycle.cycle_name} and \\${deadlineStr} → ${deadlineStr},Fixed
BUG-027,Database,Migration,High,src/migrations/tenants/126_shift_change_requests.sql,8,"requested_shift_id has ON DELETE CASCADE. Deleting a shift definition silently deletes the full history of all shift-change requests and approvals for that shift — destroying the audit trail.",Change ON DELETE CASCADE to ON DELETE RESTRICT on requested_shift_id. Add soft-delete to shifts table if needed.,Fixed
BUG-028,Database,Migration,High,src/migrations/tenants/124_payroll_engine.sql,112,"payslip_number VARCHAR(50) has no UNIQUE constraint. Two payroll runs can generate payslips with the same reference number breaking accounting integrity and making payslip_number unusable as an external reference.",Add: ALTER TABLE payslips ADD CONSTRAINT uq_payslip_number UNIQUE (payslip_number); and handle conflicts in payslip generation code.,Fixed
BUG-029,Backend,Payroll Engine,Medium,src/modules/payroll/payrollEngine.service.js,567,"approvePayrollRun accepts COMPLETED as a valid status to transition from — a run whose payslips were already generated can be re-approved.",Change allowed-status guard to ['DRAFT' 'PROCESSING'] only.,Fixed
BUG-030,Backend,Auth Service,Medium,src/modules/auth/auth.service.js,436-459,"verify2FA() is dead code (no route wires it up) but contains a wrong query: queries public.tenants WHERE id = $1 using userId (admin_users.id) not a tenant row ID. If wired up it would silently return wrong TOTP secrets.",Remove verify2FA entirely; it is superseded by verifyMfaLogin.,Fixed
BUG-031,Backend,Auth Service,Medium,src/modules/auth/auth.service.js,1568-1596,"impersonationCodes is an in-process Map. In multi-process/multi-instance deployments (PM2 cluster Kubernetes) a code issued by one process cannot be redeemed by another. Expired codes also accumulate indefinitely.",Store impersonation codes in Redis or a DB table with TTL. Call prune on redemption as well as issuance.,Fixed
BUG-032,Backend,Auth Service,Medium,src/modules/auth/auth.service.js,589-612,"issueRefreshToken does not store tenant_id or db_name in the DB row — only in the JWT payload. verifyAndRotateRefreshToken re-fetches user data using payload.db_name from the (potentially attacker-supplied) token claims without server-side cross-checking.",Add tenant_id and db_name columns to public.refresh_tokens and verify them server-side during rotation rejecting mismatching claims.,Fixed
BUG-033,Backend,Auth Controller,Medium,src/modules/auth/auth.controller.js,108,"Login handler sends access token both as httpOnly cookie AND as plain JSON body field `token: accessToken`. JavaScript can read the body token defeating the XSS protection of httpOnly cookies.",Remove `token: accessToken` from the JSON response body. Clients should rely solely on the httpOnly cookie.,Fixed
BUG-034,Backend,Holidays Service,Medium,src/modules/holidays/holidayNotifications.service.js,86-129,"Race condition in notifyHolidayEvent: wasAlreadySent check and recordSent insert are not atomic. Two concurrent calls both pass the check before either writes to history — duplicate notifications sent to all recipients.",Invert pattern: attempt INSERT first. If rowCount === 0 (conflict) skip the send. This is atomic and race-free.,Fixed
BUG-035,Backend,Shifts Service,Medium,src/modules/shifts/shifts.service.js,294-322,"getEmployeeCurrentShift uses `esa.effective_to >= NOW()` but effective_to is a DATE. Postgres coerces the date to midnight — NOW() mid-day is after midnight of effective_to when effective_to == today. Shift assignments expiring today are incorrectly treated as expired mid-day.",Change to `esa.effective_to >= CURRENT_DATE` so assignments on their last calendar day are returned throughout that day.,Fixed
BUG-036,Backend,Shifts Service,Medium,src/modules/shifts/shifts.service.js,517-534,"In actOnChangeRequest if current_stage is 'done' and status is 'Pending' the code silently repairs stage to stages[0] allowing an HR user to re-approve an already-concluded request — state-machine bypass.",If current_stage is 'done' throw ApiError.badRequest('Change request is already concluded') rather than silently repairing the stage.,Fixed
BUG-037,Backend,Notifications Service,Medium,src/modules/notifications/notifications.service.js,219-223,"countUnread() calls listNotifications() and filters in JavaScript. For superadmin with many tenants this triggers N sequential DB queries and loads up to 100*N notification objects into memory just to return a badge count. This endpoint is polled frequently.",Implement dedicated `SELECT COUNT(*) FROM notifications WHERE is_read = false AND <userScope>` query bypassing the full list fetch.,Fixed
BUG-038,Backend,Tenant Service,Medium,src/modules/tenant/tenant.service.js,424-439,"Welcome email sends plain-text adminPassword to the tenant admin. Raw passwords in email expose credentials if the email channel is compromised. If email fails the admin has no password and no recovery path.",Send only the login URL and a one-time password-reset link expiring in 24 hours. Never transmit raw passwords via email.,Fixed
BUG-039,Frontend,Payroll UI,Medium,src/pages/admin/finance/Payroll.jsx,78-86,"useEffect for data re-fetch has wrong dependencies: monthly tab does not re-fetch when selectedMonth changes alone (Load button needed). If user navigates away and returns stale data can show for previously loaded month.",Split into two separate useEffects. Ensure fetchMonthlySummary is also called when [selectedMonth] changes if mainTab === 'monthly'.,Fixed
BUG-040,Frontend,Payroll UI,Medium,src/pages/admin/finance/Payroll.jsx,609,"Payroll Items table uses global 'loading' state set by initial employee/salary fetch instead of a dedicated loading state for payroll items. Items visually appear to finish loading prematurely.",Add const [itemsLoading setItemsLoading] = useState(false) set it in fetchPayrollItems and pass it to the Table component.,Fixed
BUG-041,Frontend,Payroll UI,Medium,src/pages/admin/finance/Payroll.jsx,502,"Monthly Payroll table 'Gross Salary' column renders fmt(Number(row.net_salary)) — the configured base salary not a computed gross. Users see same number in both 'Gross Salary' and 'Net Pay' when there is no LOP.",Rename column to 'Base Salary' or pass actual gross field from backend.,Fixed
BUG-042,Frontend,Payroll UI,Medium,src/pages/admin/finance/Payroll.jsx,354,"PENDING RECORDS KPI computes Math.max(0 employees.length - salaries.length) but salaries are filtered by current searchTerm/dept filter. Count is artificially inflated when filters are active.",Fetch salaries without filters for the KPI count or compute pending only from unfiltered API total.,Fixed
