BUG-ID,Severity,Category,Project,File Path,Lines,Title,Description,Impact,Fix / Recommendation
AUTH-001,Critical,Debug Info Leakage,API,d:\HRIS_API\src\middlewares\auth.middleware.js,"15-16, 31, 65, 160-161",Debug logs expose tokens & user data,"console.log statements print req.cookies (access tokens), Authorization headers, and full req.user JSON including tenant_id and role on every request","Access tokens, refresh tokens, tenant info, and roles are visible in server logs. If logs are accessible, full session takeover is possible","Remove all [Auth Debug] console.log statements before production. Search: grep ""Auth Debug"" in auth.middleware.js"
AUTH-002,Critical,IDOR / Missing Auth Gate,Frontend,d:\HRIS\src\pages\admin\employees\EmployeeProfile.jsx,"255, 269-296",Employee profile IDOR — any employee ID accepted,"getEmployeeProfile(selectedId) fetches full profile without verifying the requester owns or manages that employee. All dependent data (attendance, leave, documents, performance, assets) loaded with no frontend authz check","Employee A can view Employee B's private profile, salary, leave history, and documents if backend tenant scoping is absent or incomplete","Backend must validate employee_id belongs to requester's tenant and the requester has manager/admin role. Frontend should guard using hasPermission() before calling the service."
AUTH-003,Critical,Missing Route Guard,Frontend,d:\HRIS\src\routes\AppRouter.jsx,"362-366, 410-416, 443",Messages / Tasks / Support routes have NO AdminModuleGate,"<Messages />, <NotificationCenter />, <TaskManagement />, <TaskDetails />, and support-management routes are rendered directly without wrapping in AdminModuleGate or any permission check","Users can deep-link or navigate to restricted modules regardless of their plan or role. Task and support UIs are accessible to employees","Wrap each route in AdminModuleGate with the correct module key. Example: <AdminModuleGate module=""messages""><Messages /></AdminModuleGate>"
AUTH-004,Critical,Stored Credential / XSS,Frontend,"d:\HRIS\src\context\AuthContext.jsx, d:\HRIS\src\services\api.js","18, 271-281",Access token and full user object stored in localStorage,"hris_token (access token) stored in localStorage (TOKEN_KEY). Full hris_auth_user object also stored. localStorage is readable by any JavaScript on the page","XSS attack on any page steals access token and full user session (role, tenant, email, permissions). No expiry enforced by storage layer","Remove localStorage token fallback; rely solely on httpOnly cookies. If fallback needed, use sessionStorage only. Enforce strict CSP headers."
AUTH-005,High,Authentication Bypass,API,d:\HRIS_API\src\modules\auth\auth.service.js,"1142-1414",Login lockout not enforced before password comparison,"Central resolution path verifies the password inline (line ~1338) then enforces lockout later (line 1413). A locked account that already passed password comparison during central resolution still receives a login token","Locked accounts can successfully log in if the central resolution path is taken, bypassing account lockout entirely","Move enforceAdminLockout() to BEFORE any password comparison call. Enforce lockout as the very first gate after finding the user record."
AUTH-006,High,Authentication Bypass,API,d:\HRIS_API\src\modules\auth\auth.mfa.service.js,"107-143, 146-182",MFA can be disabled with null/empty code,"disable() function checks if code is missing only AFTER confirming MFA is enabled. Route declares code as optional (auth.routes.js body('code').optional()). If code is empty, the check throws — but the NOT-enabled path returns success silently","Attacker with account access (e.g., via session hijack) sends a disable-MFA request with no code and the account's MFA is removed, downgrading security to password-only","Make code mandatory when row.mfa_enabled = true. Add: if (row.mfa_enabled && !code) throw ApiError.badRequest('Enter your current 6-digit code'). Remove optional() from route validator."
AUTH-007,High,Authentication Bypass,API,d:\HRIS_API\src\modules\auth\auth.service.js,"1205-1227",Employee portal lockout bypassed when portal_enabled = false,"enforceEmployeeLockout() is called inside the if (employeePortalActive) block. Accounts with portal_enabled = false skip lockout entirely — an attacker can brute-force these accounts indefinitely","Disabled-portal employee accounts have no brute-force protection. An attacker who re-enables portal later inherits a full attempt counter reset","Move enforceEmployeeLockout() outside the portal_enabled check so lockout is always enforced regardless of portal status."
AUTH-008,High,Password / OTP Security,API,d:\HRIS_API\src\modules\auth\auth.service.js,"359-431",Password reset OTP not deleted immediately after first use,"verifyOTP() may mark the record as used but the SELECT query on lines 392-399 re-reads the same record. Between verifyOTP() marking expiry and the DELETE, another concurrent request could reuse the same OTP","Race condition allows OTP replay within expiry window. Two concurrent reset requests with the same code could both succeed","Replace two-step verify+fetch with a single atomic DELETE … RETURNING so the record is removed in one query. Example: DELETE FROM password_resets WHERE email=$1 AND otp_code=$2 RETURNING tenant_id, user_type"
AUTH-009,High,Weak Cryptography,API,d:\HRIS_API\src\modules\auth\auth.service.js,"928-939",MFA challenge JWT signed with same secret as access tokens,"issueMfaChallenge() uses env.JWT.secret (the main access-token secret) to sign the MFA intermediate token. No attempt counter or per-token rate limiting","If JWT secret is leaked, attackers can forge valid MFA challenge tokens and bypass 2FA completely. No rate limiting means brute-force of TOTP codes is possible","Use a dedicated env.JWT.mfaSecret for signing MFA tokens. Store issued MFA challenge tokens in Redis with attempt counters (max 5 attempts before invalidation)."
AUTH-010,High,Information Disclosure,API,d:\HRIS_API\src\modules\auth\auth.service.js,"230-274",Timing-based email enumeration in forgot-password,"requestPasswordReset() iterates all active tenants when user not found in index (lines 194-222). This O(N) scan takes significantly longer than the fast-path for valid emails, leaking whether an email exists","Attacker measures response time: fast response (~50ms) = email not found; slow response (~500ms) = email found in some tenant. Enables org-wide email harvesting","Add a fixed artificial delay (200-300ms minimum response time) regardless of whether the email was found. Use: await new Promise(r => setTimeout(r, 250))"
